,appid,meanPlayers2017,meanPlayers2018,meanPlayers2019,meanPlayers2020
194,536930,1729,1074,699,226
195,233450,2526,1465,1516,1849
196,280790,1361,838,452,475
197,242050,1295,957,800,1258
198,9900,1101,1343,1198,1533
199,316010,1459,1070,375,110
200,389430,1631,1829,1379,1963
201,403640,1272,764,749,835
202,524220,1214,1353,891,1348
203,469600,698,297,171,216
204,506540,1251,220,1,1
205,4760,1265,1158,1190,1390
206,216150,1509,906,888,2101
207,387990,1202,1061,967,4201
208,480490,1205,799,695,565
209,447040,1493,970,1294,1136
210,688470,584,164,161,182
211,506140,1347,1172,890,826
212,402840,1463,1365,1403,1394
213,261640,1225,1084,2011,720
214,364470,1110,1054,762,412
215,663090,1616,953,877,1310
216,266840,1405,1058,1130,1821
217,203160,1498,1493,937,3882
218,291650,1103,1395,804,869
219,372000,2528,1552,1461,2521
220,456610,1063,610,254,189
221,212680,1277,1113,1153,1261
222,337000,957,800,542,650
223,415200,1007,860,719,1136
224,32470,1733,1170,1284,1897
225,397900,779,1216,943,1363
226,569480,937,391,353,360
227,444640,935,645,524,648
228,473690,387,155,84,72
229,433340,1421,1093,1139,1224
230,234140,1048,1088,709,812
231,298110,1255,1194,679,888
232,201810,980,475,441,422
233,290080,949,670,522,527
234,445220,804,536,430,1180
235,335240,989,742,512,870
236,8800,1079,1018,1097,1343
237,208650,1110,1080,966,1019
238,329110,1156,1513,1477,1719
239,326460,1044,952,658,801
240,529180,892,687,319,244
241,438740,1533,663,523,623
242,8980,969,825,473,173
243,521630,101,2,0,0
244,220,1481,769,724,1453
245,393420,917,558,811,799
246,22330,993,949,920,1264
247,20920,863,793,718,1377
248,253710,879,482,602,999
249,3910,995,879,952,1226
250,516750,588,484,532,700
251,252530,767,635,626,747
252,360430,872,736,616,785
253,612020,1080,902,427,240
254,391540,1310,1013,785,996
255,12120,1040,846,875,1145
256,286940,618,318,82,1
257,20900,872,791,846,1706
258,342200,1291,921,575,436
259,431240,813,561,471,909
260,466560,1012,1194,1221,1873
261,6060,1642,459,378,473
262,10090,1010,793,701,901
263,339600,957,815,759,698
264,339610,870,745,693,729
265,333420,820,555,499,639
266,212500,850,774,553,907
267,235540,934,335,75,70
268,269210,452,335,354,477
269,531640,1348,1012,646,462
270,65930,373,71,34,36
271,310950,1618,1468,1333,1795
272,275850,972,5459,4910,7173
273,367500,1123,914,693,910
274,448440,6,14,7,0
275,12210,969,791,678,1281
276,226840,762,610,1071,718
277,601430,664,247,171,227
278,675010,765,736,723,834
279,17390,994,793,675,752
280,1840,902,906,1019,1186
281,646570,1601,9970,6345,7404
282,297000,862,767,860,1305
283,113400,752,688,498,514
284,612510,122,2,2,0
285,263280,687,418,333,412
286,206420,1079,669,453,416
287,236870,1843,1346,574,526
288,624120,753,665,174,107
289,220240,924,846,484,846
290,521890,435,169,104,117
291,438100,2556,6019,6367,9885
292,299740,906,619,567,511
293,65980,860,672,567,565
294,219640,792,556,303,218
295,588650,1657,1739,1586,2197
296,442080,763,531,351,494
297,55230,1085,686,521,540
298,221680,810,719,729,920
299,261430,539,525,354,282
300,208580,1532,586,635,805
301,550900,754,686,389,1006
302,459820,843,735,877,1422
303,310560,752,474,618,458
304,434650,706,590,438,456
305,393430,430,21,11,9
306,71270,595,528,423,495
307,200710,1151,901,566,788
308,205100,933,555,478,569
309,349040,1288,661,445,644
310,300,626,454,396,477
311,213670,967,326,265,394
312,50130,739,472,480,546
313,334230,847,992,741,1251
314,319630,1204,769,454,624
315,245620,693,680,463,322
316,204880,710,924,936,715
317,449540,141,36,6,4
318,451340,831,517,444,486
319,80,763,554,430,571
320,288390,505,435,375,452
321,376210,661,966,2789,4107
322,488790,1235,377,433,470
323,542650,26,4,0,0
324,22490,550,552,482,556
325,429660,843,516,306,282
326,35450,678,518,370,349
327,313160,663,386,221,207
328,455940,1,0,1,0
329,447820,1087,561,216,156
330,286690,558,502,411,433
331,607890,456,253,173,190
332,251060,670,685,685,793
333,375450,553,437,360,454
334,657200,1476,276,189,237
335,304030,708,455,320,226
336,311690,1001,1860,2224,1665
337,47410,658,553,503,536
338,42710,516,403,333,332
339,592600,721,568,14,3
340,24200,532,517,440,567
341,627270,844,394,206,244
342,236110,688,643,529,655
343,438020,86,109,56,135
344,1250,722,500,341,377
345,207890,539,448,335,383
346,365670,658,888,928,2147
347,307780,745,701,700,358
348,42680,590,448,415,412
349,108600,686,754,936,1165
350,454180,78,2,0,0
351,454150,67,5,3,1
352,564710,681,424,274,278
353,361420,2317,1079,2186,2445
354,285190,568,255,145,171
355,10180,600,482,469,475
356,113200,545,332,249,261
357,287390,517,494,429,413
358,581690,0,1,0,1
359,363890,890,899,936,1122
360,357290,22,14,4,1
361,204360,1238,576,514,685
362,374040,552,548,471,580
363,269950,589,741,1214,1978
364,217490,450,428,790,325
365,465650,658,299,71,36
366,641990,728,358,385,516
367,557400,680,424,150,81
368,537180,749,671,659,801
369,215080,526,518,355,513
370,289130,569,582,557,527
371,504730,491,416,311,62
372,42750,258,295,99,42
373,302830,458,270,46,28
374,8870,661,612,539,698
375,204300,452,339,206,228
376,224260,570,472,326,456
377,706220,731,1339,1501,2644
378,212160,460,277,281,367
379,558990,469,108,65,105
380,3900,559,491,525,621
381,589290,325,211,170,343
382,502520,667,512,471,590
383,550470,480,305,256,459
384,609150,269,57,27,26
385,496460,588,306,223,205
386,32370,1355,401,461,589
387,466170,748,792,775,723
388,9450,530,595,655,788
389,203290,443,357,283,287
390,306020,651,360,221,202
391,287450,653,517,538,734
392,42960,560,642,729,911
393,610120,37,2,2,0
394,650500,293,89,53,38
395,236690,424,414,373,580
396,439350,588,316,276,836
397,434170,404,199,229,630
398,370240,525,267,137,110
399,427270,300,209,18,7
400,2870,269,129,45,43
401,446150,429,282,124,152
402,234630,500,325,221,164
403,249130,486,333,232,268
404,685310,674,350,148,91
405,226860,575,457,454,436
406,236430,529,355,269,287
407,47810,556,467,388,555
408,200260,564,445,384,448
409,238090,532,331,280,300
410,228280,571,487,549,733
411,285920,524,527,523,772
412,210770,290,82,44,54
413,268420,573,404,287,407
414,400,1041,428,406,554
415,368070,434,342,373,454
416,331470,392,429,363,420
417,495910,687,591,401,432
418,312530,599,405,284,343
419,238460,726,341,249,457
420,311310,412,384,555,811
421,321040,387,243,170,162
422,365960,359,387,451,592
423,581600,69,0,0,0
424,722060,344,181,160,223
425,365360,534,543,939,901
426,292730,399,275,171,162
427,70,689,409,446,989
428,212910,406,344,353,591
429,388660,5,5,0,0
430,368500,519,430,395,560
431,24960,546,399,238,231
432,389300,340,348,235,99
433,225260,348,91,44,47
434,211500,366,292,344,561
435,40970,546,493,646,852
436,237310,593,373,351,473
437,33230,544,399,342,555
438,333950,534,234,148,101
439,541180,361,86,5,5
440,289650,565,426,420,740
441,555830,27,4,0,0
442,474960,633,170,95,125
443,391040,315,165,71,62
444,215280,602,346,156,162
445,33350,393,374,412,350
446,666220,281,88,40,59
447,404730,340,254,224,289
448,545580,37,3,0,0
449,246620,685,481,417,1248
450,42700,430,391,367,503
451,332310,422,245,165,163
452,212070,532,342,266,264
453,366220,400,293,250,224
454,282440,383,315,269,340
455,299360,400,224,82,64
456,431560,63,3,9,6
457,22370,396,398,265,292
458,500,643,414,392,493
459,248390,700,393,407,444
460,619730,34,11,8,12
461,344760,397,148,70,56
462,371660,455,378,413,536
463,203140,532,374,270,280
464,562730,286,1,1,0
465,39120,424,410,247,298
466,571740,415,312,369,587
467,619330,44,4,0,0
468,212200,594,429,417,450
469,482750,357,227,99,82
470,355840,353,307,330,271
471,554620,1780,373,160,179
472,526290,2,11,1,0
473,672680,425,235,201,274
474,274190,592,338,263,291
475,624140,365,148,6,1
476,9420,437,395,451,523
477,636480,518,545,569,769
478,268400,424,404,410,422
479,110800,758,258,180,292
480,412290,75,18,2,35
481,221040,530,371,429,606
482,48720,439,340,300,317
483,414070,48,5,9,6
484,232890,441,314,342,452
485,39140,515,417,395,823
486,11020,296,227,191,354
487,388080,523,519,482,520
488,22320,395,378,358,482
489,647830,391,222,155,185
490,421020,375,278,224,246
491,3590,544,598,815,2918
492,460920,572,257,185,168
493,678800,359,181,142,162
494,463530,256,72,114,195
495,359870,676,558,451,750
496,420360,12,1,0,0
497,209000,401,329,284,311
498,578310,404,355,184,146
499,223830,223,115,86,87
500,322110,82,53,32,29
501,345350,81,63,52,73
502,323580,77,31,15,13
503,280,82,49,58,102
504,326410,73,37,24,24
505,17440,71,54,46,50
506,253900,103,98,101,100
507,533340,2,2,1,0
508,271360,63,43,40,50
509,551670,1,1,6,49
510,592490,1,1,5,0
511,721030,49,15,11,16
512,311340,105,68,57,85
513,449140,46,31,19,22
514,15210,61,63,71,96
515,514900,57,28,41,26
516,271290,55,2,1,1
517,319510,68,45,42,74
518,233250,44,29,17,15
519,681840,38,29,30,66
520,552620,39,97,367,318
521,1900,64,130,105,114
522,286000,87,53,20,20
523,466860,52,50,20,15
524,420440,61,57,61,65
525,389280,59,30,11,10
526,650760,55,54,40,87
527,491260,21,7,1,0
528,513570,9,2,2,10
529,235900,71,77,77,107
530,293760,64,148,260,326
531,238430,73,36,22,35
532,567780,0,0,0,0
533,402220,42,4,1,0
534,354920,16,2,0,0
535,397350,72,63,76,105
536,41500,71,57,40,59
537,463680,41,12,7,0
538,566050,62,65,77,115
539,375530,44,108,58,55
540,473470,19,21,2,17
541,611790,189,183,212,204
542,333640,68,67,67,80
543,231350,56,50,111,131
544,313010,71,57,48,47
545,268870,63,150,37,36
546,288160,86,47,43,54
547,282560,59,38,29,38
548,467520,68,92,64,38
549,394870,10,5,1,1
550,348250,96,70,69,50
551,554510,62,57,25,30
552,292140,65,57,52,83
553,466300,160,86,59,73
554,478980,62,42,49,66
555,233980,73,59,37,35
556,20540,64,51,53,69
557,322460,50,35,25,26
558,314970,52,44,32,39
559,465710,41,25,9,5
560,561610,51,34,14,10
561,458960,68,54,0,0
562,390100,67,66,53,52
563,261470,65,46,39,37
564,369140,59,60,78,95
565,280160,103,52,45,43
566,7830,54,48,35,37
567,215530,49,35,82,60
568,319910,41,26,24,34
569,448070,32,11,2,96
570,533180,35,5,0,0
571,113020,88,31,18,24
572,641780,58,39,67,113
573,290790,59,29,18,17
574,442780,44,13,8,9
575,8850,58,47,40,47
576,24670,71,62,69,74
577,21100,62,49,40,46
578,575550,50,28,11,9
