,appid,meanPlayers2017,meanPlayers2018,meanPlayers2019,meanPlayers2020
1002,410380,84,78,24,25
1003,410900,160,209,282,333
1004,40390,68,76,66,73
1005,483770,41,19,17,22
1006,429790,193,191,229,368
1007,746910,49,13,4,4
1008,467120,2,9,0,0
1009,527230,244,530,585,1194
1010,254200,88,144,75,68
1011,418030,103,161,205,375
1012,504050,121,90,64,44
1013,217200,118,111,107,201
1014,313340,118,132,100,93
1015,63950,13,5,3,2
1016,496680,23,8,4,4
1017,546660,68,10,5,67
1018,338530,18,5,3,5
1019,563120,18,22,3,10
1020,40300,81,88,89,101
1021,414290,47,45,20,35
1022,640100,0,0,0,0
1023,71340,94,71,70,169
1024,635200,25,16,14,12
1025,40800,160,97,63,68
1026,445310,98,117,129,170
1027,463220,20,19,3,30
1028,293180,63,9,2,96
1029,382110,122,130,122,123
1030,595340,27,12,3,17
1031,331790,11,25,5,70
1032,454910,86,69,36,62
1033,410340,78,105,119,168
1034,606800,129,138,147,170
1035,7520,58,77,110,131
1036,285160,88,132,117,115
1037,262150,3,5,1,2
1038,265550,130,107,94,141
1039,581030,3,7,2,5
1040,438030,18,23,3,42
1041,47780,101,100,92,114
1042,428630,5,5,4,0
1043,465240,61,84,69,36
1044,464340,82,50,34,46
1045,440650,89,115,101,88
1046,616560,143,111,107,115
1047,242700,98,72,48,292
1048,469730,9,7,1,10
1049,223850,149,174,303,342
1050,302510,97,111,68,88
1051,604500,103,82,75,114
1052,356500,143,95,101,141
1053,223710,80,93,88,138
1054,212480,130,83,63,85
1055,434570,67,61,42,53
1056,507390,14,3,2,2
1057,585900,74,42,39,54
1058,218680,115,102,83,66
1059,377530,130,153,117,205
1060,35700,66,55,49,75
1061,575840,16,3,1,4
1062,3990,98,127,136,164
1063,266510,84,49,35,26
1064,209870,92,107,13,1
1065,214170,54,44,42,47
1066,400740,4,6,3,0
1067,393530,105,112,64,74
1068,452060,90,49,51,57
1069,312990,80,71,44,49
1070,471010,24,26,27,19
1071,265300,93,115,78,66
1072,640590,79,45,34,240
1073,17470,93,88,88,130
1074,448280,140,115,137,86
1075,384180,80,96,133,193
1076,290730,84,111,97,105
1077,261030,115,86,25,78
1078,216250,69,75,47,43
1079,259080,114,84,62,52
1080,607200,60,61,22,1
1081,554530,81,28,5,3
1082,407530,84,49,26,41
1083,419480,132,121,74,44
1084,598330,158,172,170,173
1085,564530,78,108,117,198
1086,571260,91,99,71,78
1087,235400,77,104,90,81
1088,289520,67,88,88,90
1089,495780,4,2,2,0
1090,3920,103,107,107,145
1091,237110,77,94,130,90
1092,525300,21,14,4,2
1093,367670,97,114,109,130
1094,15100,105,88,70,122
1095,43110,58,208,133,74
1096,619080,9,119,0,0
1097,574070,28,9,6,6
1098,4850,67,76,78,111
1099,462770,183,65,32,36
1100,717790,43,22,18,11
1101,412830,142,125,86,120
1102,209080,119,256,35,28
1103,200170,127,92,77,126
1104,32800,159,73,39,37
1105,343360,33,28,6,138
1106,596690,25,5,16,20
1107,535230,122,89,70,60
1108,383870,161,88,59,87
1109,363680,117,125,67,53
1110,284950,34,17,6,7
1111,298240,94,50,25,20
1112,267530,90,64,52,48
1113,263500,95,63,14,1
1114,228380,185,379,471,776
1115,457590,135,40,19,22
1116,287920,115,91,59,44
1117,252610,159,103,72,63
1118,327690,103,42,1,1
1119,337320,119,89,111,212
1120,266410,61,63,78,138
1121,562080,86,26,10,4
1122,493730,14,9,7,12
1123,565860,5,5,8,1
1124,34460,116,101,92,74
1125,248170,126,119,109,131
1126,225640,93,80,70,81
1127,108800,106,86,62,99
1128,447530,360,135,144,193
1129,536220,155,80,16,60
1130,329000,160,33,11,136
1131,208090,64,39,1,1
1132,509110,6,3,1,25
1133,405900,129,91,63,72
1134,213610,112,101,111,182
1135,617830,190,105,133,111
1136,510510,91,53,20,24
1137,323850,302,120,112,151
1138,511680,138,63,40,21
1139,9930,103,46,25,21
1140,287680,84,57,35,34
1141,547680,125,83,33,22
1142,329050,247,166,138,109
1143,667600,61,22,17,27
1144,621880,106,71,36,15
1145,226580,76,53,43,44
1146,43160,90,74,59,39
1147,251150,134,83,83,157
1148,287980,194,155,98,112
1149,281640,94,83,56,70
1150,597220,232,106,85,77
1151,665360,157,67,32,34
1152,274520,89,71,62,86
1153,507490,99,79,70,139
1154,24240,117,77,40,42
1155,28050,84,80,61,68
1156,282900,161,151,99,80
1157,524580,112,55,30,23
1158,553640,74,38,17,21
1159,356040,152,109,81,74
1160,7600,109,85,90,101
1161,410110,35,80,13,7
1162,482850,82,58,23,17
1163,654880,144,67,51,34
1164,474750,88,49,29,28
1165,533780,67,56,26,28
1166,433350,84,56,36,34
1167,285330,118,128,146,227
1168,471550,46,61,66,78
1169,393100,83,58,50,34
1170,241540,89,74,33,23
1171,40990,62,47,58,97
1172,375010,14,7,8,2
1173,258010,3,2,1,1
1174,108710,84,92,84,155
1175,602940,9,3,0,0
1176,581670,5,4,3,12
1177,257850,145,93,46,59
1178,614860,102,30,0,0
1179,526160,164,62,63,64
1180,48000,167,82,69,72
1181,439700,74,62,5,4
1182,341000,102,80,55,51
1183,351510,78,35,36,136
1184,459220,207,132,112,141
1185,315660,145,123,119,142
1186,467370,22,8,1,0
1187,4560,100,83,82,109
1188,457330,86,69,34,35
1189,10680,111,90,62,85
1190,391460,81,77,49,40
1191,25900,97,92,81,99
1192,372360,107,82,66,79
1193,467960,69,85,59,68
1194,597170,115,110,175,241
1195,292990,87,74,61,72
1196,630,66,53,49,55
1197,425160,0,0,0,1
1198,588220,130,71,22,14
1199,250320,134,73,46,67
1200,7670,90,75,68,92
1201,281610,102,60,75,88
1202,214510,112,132,143,140
1203,562430,18,10,3,12
1204,257170,99,55,45,55
1205,243970,90,73,54,60
1206,304430,293,95,79,78
1207,282140,135,101,74,112
1208,723790,63,23,13,14
1209,433530,105,48,46,60
1210,217750,79,96,69,83
1211,443810,137,164,85,98
1212,501300,106,38,31,37
1213,593280,158,34,55,39
1214,399000,21,3,1,0
1215,7620,105,85,87,101
1216,330830,112,65,58,21
1217,402430,110,65,23,19
1218,215830,1087,729,313,195
1219,204030,125,77,72,81
1220,357900,25,5,1,7
1221,251730,80,51,46,61
1222,503560,98,85,157,153
1223,317470,87,75,56,71
1224,342310,25,6,7,6
1225,25800,86,92,77,81
1226,208200,94,73,73,100
1227,683900,80,115,161,319
1228,649900,71,28,16,13
1229,252470,129,48,36,41
1230,423580,119,133,114,108
1231,238370,98,137,109,135
1232,424840,116,111,102,140
1233,115320,94,84,70,84
1234,259680,134,143,136,167
1235,237990,136,117,92,118
1236,659460,4,2,3,0
1237,410980,91,89,103,129
1238,476460,86,65,55,67
1239,327070,88,171,321,314
1240,17300,111,74,53,84
1241,207170,58,35,30,41
1242,564230,179,123,122,153
1243,748370,43,28,15,9
1244,3330,102,124,169,250
1245,258970,108,77,59,69
1246,32430,247,58,77,84
1247,581130,104,109,70,71
1248,592260,90,125,183,282
1249,19900,94,114,77,118
1250,354290,83,74,68,111
1251,339280,69,32,1,1
1252,386620,107,81,53,58
1253,597840,70,72,50,49
1254,345260,83,83,105,142
1255,507400,20,4,1,8
1256,610670,37,6,2,1
1257,539440,20,3,7,1
1258,235460,128,86,89,130
1259,398850,66,28,19,18
1260,376870,137,57,23,17
1261,757570,27,4,1,1
1262,697610,88,56,31,30
1263,438140,84,90,77,83
1264,250760,124,98,132,145
1265,314980,95,94,87,95
1266,12200,136,105,90,126
1267,317400,87,59,51,110
1268,510630,71,4,0,0
1269,303390,74,50,4,226
1270,463100,31,5,1,4
1271,406290,94,78,74,132
1272,107100,130,111,59,73
1273,322190,104,48,32,27
1274,400910,117,76,82,71
1275,222480,96,79,85,109
1276,240760,69,40,26,32
1277,568770,87,53,30,59
1278,34270,106,108,81,120
1279,451130,65,60,9,6
1280,2600,98,87,125,120
1281,619310,80,37,14,16
1282,224900,32,112,95,84
1283,269470,96,102,113,138
1284,475550,149,127,103,105
1285,345180,109,72,45,43
1286,619340,2,5,0,1
1287,354830,56,27,22,16
1288,259060,79,38,22,18
1289,582550,92,48,36,37
1290,245470,104,79,60,66
1291,502370,73,66,48,53
1292,222750,75,63,48,48
1293,619910,100,65,33,27
1294,624910,59,10,0,1
1295,495280,91,73,36,41
1296,206210,62,46,18,21
1297,17520,117,68,60,104
1298,304240,95,96,111,191
1299,453980,12,1,8,2
1300,215930,54,144,120,137
1301,18500,91,77,71,77
1302,321400,55,39,52,24
1303,306760,73,38,27,35
1304,6860,104,85,77,91
1305,380840,51,36,36,61
1306,632300,81,19,31,43
1307,423710,49,21,3,40
1308,322780,56,273,101,0
1309,510660,82,72,77,109
1310,484900,66,35,28,50
1311,466910,63,38,21,28
1312,7200,68,56,51,76
1313,437920,105,121,126,161
1314,318020,60,49,38,46
1315,620130,1,1,0,0
1316,464350,82,70,63,77
1317,17430,81,71,63,118
1318,381990,91,55,35,45
1319,509240,11,1,8,4
1320,502800,121,54,50,37
1321,522230,68,89,88,76
1322,621830,96,57,77,87
1323,250340,80,47,33,36
1324,23310,101,87,44,46
1325,220260,76,69,47,43
1326,468920,34,47,66,79
1327,233840,43,35,26,36
1328,633880,18,7,9,14
1329,221910,159,75,64,89
1330,349720,84,66,54,167
1331,300080,82,72,42,53
1332,452230,71,58,25,18
1333,248610,124,122,63,70
1334,40980,66,60,67,89
1335,235380,74,53,45,53
1336,528740,79,81,104,124
1337,575720,100,163,153,191
1338,598960,132,62,70,65
1339,533150,11,4,5,0
1340,400170,77,53,60,64
1341,427730,88,42,36,57
1342,204450,132,79,52,51
1343,543460,70,83,44,63
1344,542340,11,7,7,6
1345,253490,100,87,119,161
1346,365450,89,472,343,444
1347,55140,78,45,36,41
1348,741260,25,32,10,16
1349,442120,106,73,101,151
1350,383800,0,0,0,0
1351,344230,31,4,2,1
1352,426000,123,82,63,64
1353,57300,93,141,73,96
1354,250400,94,78,43,36
1355,457730,88,40,29,11
1356,547960,20,9,1,9
1357,385070,11,26,9,106
1358,552590,79,18,8,7
1359,234670,86,58,44,62
1360,205610,57,58,73,86
1361,1930,76,157,124,140
1362,491650,17,16,3,17
1363,304410,93,84,75,81
1364,34440,71,53,47,42
1365,361280,171,184,185,425
1366,571310,169,43,25,23
1367,449680,47,45,14,19
1368,564310,71,58,48,77
1369,12750,63,38,29,27
1370,218640,35,26,17,19
1371,441960,66,51,43,65
1372,206190,46,16,12,11
1373,579230,19,6,0,0
1374,458710,130,116,75,113
1375,291860,165,153,64,56
1376,345090,42,17,11,13
1377,414700,104,100,99,140
1378,100,96,59,50,59
1379,622920,4,1,0,0
1380,650000,23,8,7,5
1381,377310,17,13,1,27
1382,6000,163,59,58,67
1383,4570,99,93,89,118
1384,735570,36,8,5,3
1385,264200,106,56,34,22
1386,498240,101,55,31,47
1387,9350,76,68,76,88
1388,204120,67,64,58,91
1389,225420,70,60,45,40
1390,329130,109,73,51,48
1391,732430,111,43,26,30
1392,20500,83,52,19,16
1393,602520,95,54,38,53
1394,609940,80,56,19,14
1395,418650,92,59,45,23
1396,406150,26,10,9,8
1397,32510,130,57,63,138
1398,57740,76,64,50,49
1399,47400,71,44,37,37
1400,467010,19,23,4,19
1401,246420,95,81,70,114
1402,20570,62,64,61,76
1403,378370,54,37,18,18
1404,1280,36,30,35,46
1405,214560,116,62,16,16
1406,431180,70,58,42,33
1407,675260,89,92,34,51
1408,202170,71,60,41,42
1409,286570,50,480,90,84
1410,404590,74,49,43,36
1411,581100,15,5,4,1
1412,397950,95,49,40,53
1413,596650,75,50,30,20
1414,648430,58,31,4,0
1415,394310,74,75,54,69
1416,16700,70,64,80,99
1417,65540,61,60,82,111
1418,324270,0,0,0,0
1419,423770,1,0,0,0
1420,250520,77,49,171,170
1421,330840,71,40,17,10
1422,17410,105,75,60,172
1423,570780,52,37,59,180
1424,20,66,60,60,85
1425,585410,99,124,161,238
1426,325600,188,25,10,11
1427,237930,101,66,40,49
1428,50,86,67,77,161
1429,527430,50,570,369,538
1430,442070,86,32,31,286
1431,568810,22,1,0,0
1432,492090,55,46,38,51
1433,55150,83,250,133,138
1434,578620,127,104,105,75
1435,45740,80,50,40,47
1436,7610,69,54,53,62
1437,12810,63,63,48,61
1438,2990,72,59,63,84
1439,574810,10,2,4,13
1440,507360,29,7,0,0
1441,470220,136,176,349,801
1442,269770,78,71,53,77
1443,255480,82,68,47,49
1444,367540,76,54,42,38
1445,388750,75,28,15,14
1446,346120,57,41,22,25
1447,363930,45,34,20,40
1448,435030,62,56,40,53
1449,350640,80,45,45,125
1450,658980,55,10,2,3
1451,608560,28,9,14,20
1452,228260,73,65,58,51
1453,238260,80,67,40,43
1454,392950,68,56,36,42
1455,3620,75,82,92,119
1456,637100,101,29,23,29
1457,327400,63,71,85,104
1458,694130,60,47,30,52
1459,244030,34,20,20,14
1460,245490,57,41,25,19
1461,517790,64,67,80,141
1462,311730,83,67,49,45
1463,410590,0,12,28,31
1464,213330,56,47,42,53
1465,300790,33,49,59,99
1466,547900,75,70,63,78
1467,234080,60,54,36,41
1468,50300,92,261,90,97
1469,559650,97,90,114,219
1470,333600,113,61,56,92
1471,34830,61,50,49,47
1472,715310,61,39,25,34
1473,22600,71,48,36,67
1474,438490,98,82,53,36
1475,588210,88,88,56,35
1476,422900,71,54,61,66
1477,561590,79,47,15,12
1478,6030,139,42,49,48
1479,418340,95,58,25,20
1480,239070,81,44,26,27
1481,578260,15,2,4,23
1482,218510,58,73,47,51
1483,12100,82,78,80,118
1484,288140,68,70,61,52
1485,300380,87,66,51,75
1486,435440,64,50,35,33
1487,332070,58,60,59,57
1488,12140,48,40,35,50
1489,17570,49,46,29,27
1490,206500,44,131,41,39
1491,421040,76,42,25,20
1492,486310,77,78,25,28
1493,384490,85,23,14,14
1494,242550,74,59,52,71
1495,381640,35,22,18,32
1496,604160,18,13,7,11
1497,351940,192,119,82,70
1498,244770,71,47,26,22
1499,314150,1,1,1,2
1500,525920,304,398,147,90
1501,298050,378,359,322,425
1502,8190,436,348,282,291
1503,24780,425,381,366,473
1504,329430,551,279,170,219
1505,565380,31,0,0,0
1506,558100,349,205,53,18
1507,366440,25,40,8,1
1508,418240,395,273,270,561
1509,600750,455,364,292,297
1510,231120,315,234,196,253
1511,238010,342,353,280,364
1512,207140,370,255,162,332
1513,459510,0,81,27,50
1514,493900,343,311,348,240
1515,234330,489,435,349,378
1516,257350,389,392,427,611
1517,202970,334,245,194,213
1518,296870,82,32,6,1
1519,265630,299,250,149,190
1520,563560,260,205,154,325
1521,572410,353,278,175,116
1522,463110,31,3,1,2
1523,224580,279,153,88,89
1524,362960,414,321,194,192
1525,418370,986,304,286,528
1526,206480,286,261,254,458
1527,414340,355,171,141,222
1528,268050,328,172,139,170
1529,385770,403,335,228,258
1530,350080,298,153,154,145
1531,355180,298,120,47,50
1532,313120,316,308,349,618
1533,595280,426,183,86,59
1534,225840,316,275,244,401
1535,201310,289,225,141,146
1536,552700,195,118,73,69
1537,389570,348,195,83,86
1538,463710,19,3,5,2
1539,289950,310,193,137,146
1540,239350,446,322,246,328
1541,41700,346,283,257,275
1542,585790,39,16,25,1
1543,514660,23,4,1,3
1544,274920,381,548,753,1340
1545,526580,286,147,87,75
1546,614570,345,146,126,139
1547,239820,448,328,269,262
1548,320300,320,245,154,131
1549,39540,223,94,105,120
1550,509930,3,1,0,0
1551,312450,291,235,252,309
1552,436150,340,352,452,711
1553,307690,375,467,473,581
1554,207610,411,218,82,192
1555,99900,337,271,205,274
1556,274940,433,267,173,163
1557,249050,212,167,123,133
1558,403190,359,234,199,257
1559,409710,352,334,330,506
1560,410320,383,280,299,145
1561,552100,317,353,460,716
1562,242860,246,164,190,183
1563,24980,311,253,226,297
1564,224600,312,227,96,81
1565,448780,32,24,6,3
1566,690510,260,242,404,466
1567,2700,340,236,174,167
1568,610180,205,84,81,248
1569,102500,326,277,249,229
1570,664430,363,255,36,26
1571,480650,270,229,242,153
1572,636040,325,234,232,473
1573,268650,397,314,249,487
1574,209170,242,181,130,102
1575,387290,452,312,255,881
1576,285900,663,244,142,251
1577,238320,375,194,162,228
1578,611500,439,1577,645,586
1579,270150,196,110,103,135
1580,40100,273,288,294,318
1581,405310,235,168,128,140
1582,352400,247,196,134,166
1583,528300,1,1,0,0
1584,454690,29,8,9,2
1585,208480,327,255,141,84
1586,486150,30,30,5,18
1587,57690,304,265,237,200
1588,386070,348,276,262,259
1589,378540,182,170,130,99
1590,21690,415,293,325,515
1591,56400,277,306,291,348
1592,375910,422,245,208,171
1593,394510,398,263,210,199
1594,668630,210,147,89,152
1595,582500,193,87,68,127
1596,624220,0,194,51,28
1597,17460,321,255,237,310
1598,241560,290,244,63,43
1599,253940,22,67,44,59
1600,4500,301,245,242,288
1601,44350,230,134,656,246
1602,397060,256,239,86,69
1603,48240,283,237,207,168
1604,406090,37,15,26,45
1605,438640,314,118,87,141
1606,547040,85,2,0,0
1607,444460,7,11,1,77
1608,341380,1,0,0,0
1609,557780,288,205,183,129
1610,214490,289,199,160,518
1611,489520,231,290,1311,1218
1612,368900,0,30,52,49
1613,391660,13,29,11,101
1614,248820,381,272,195,126
1615,242680,269,218,157,199
1616,705220,292,439,212,149
1617,635260,386,233,188,335
1618,552110,238,178,29,3
1619,2820,171,121,90,96
1620,375960,238,170,94,78
1621,384480,0,0,0,0
1622,402570,221,171,38,1
1623,4920,219,194,204,184
1624,461910,243,152,11,0
1625,273350,246,174,25,24
1626,278080,296,250,223,374
1627,6020,538,178,165,201
1628,585560,29,5,1,1
1629,232910,179,413,387,380
1630,48190,285,217,195,317
1631,346940,203,139,109,116
1632,39150,358,334,289,193
1633,276810,248,198,162,194
1634,339800,513,280,214,245
1635,35140,293,230,225,269
1636,432150,0,23,35,48
1637,35720,177,119,92,126
1638,220700,289,270,224,238
1639,223100,806,168,81,79
1640,575570,97,12,1,0
1641,251040,230,558,619,249
1642,530700,204,103,56,58
1643,230290,289,212,277,276
1644,311560,317,234,173,252
1645,403560,11,9,1,18
1646,63380,232,170,119,103
1647,616360,35,12,22,36
1648,312060,242,224,339,317
1649,17480,322,273,273,418
1650,223750,310,327,582,1050
1651,456670,243,90,83,109
1652,462930,315,146,89,70
1653,48220,231,184,143,172
1654,704040,235,113,63,46
1655,448510,375,240,152,214
1656,644560,301,500,426,937
1657,505460,327,346,382,350
1658,544730,218,248,290,1560
1659,316390,217,198,130,1
1660,3830,140,71,55,62
1661,383980,246,227,172,414
1662,397460,204,80,76,254
1663,205710,207,234,251,315
1664,265930,275,177,120,146
1665,496690,32,3,0,0
1666,466580,109,7,0,0
1667,414530,264,229,149,189
1668,285310,236,235,239,341
1669,525480,178,105,78,79
1670,233860,273,1242,3977,3773
1671,431730,304,472,738,1336
1672,371460,14,11,1,1
1673,462030,8,7,12,0
1674,47870,299,234,171,186
1675,342970,160,5,1,4
1676,300550,185,131,97,105
1677,274170,380,268,204,217
1678,310380,193,162,11,6
1679,402710,385,130,55,44
1680,39500,178,171,190,235
1681,428690,251,166,143,152
1682,320,214,165,151,186
1683,568220,235,333,292,579
1684,413420,311,241,305,553
1685,25890,204,178,140,136
1686,321960,229,240,247,321
1687,436520,229,136,58,54
1688,575860,9,5,2,0
1689,513590,114,19,3,39
1690,301120,273,285,249,227
1691,288570,149,72,53,38
1692,326360,246,203,142,150
1693,527770,24,5,2,1
1694,357310,153,72,56,52
1695,386940,820,245,243,446
1696,362890,486,213,282,1095
1697,574640,63,32,1,0
1698,4580,222,239,232,295
1699,534500,186,7,1,1
1700,360170,220,154,90,80
1701,538680,276,183,125,212
1702,65800,217,199,242,298
1703,631530,13,14,23,35
1704,734580,128,74,20,16
1705,254700,281,263,289,564
1706,420,225,156,150,321
1707,257510,280,223,168,190
1708,20510,192,172,161,184
1709,24720,231,208,177,195
1710,321360,203,132,95,180
1711,290340,503,324,284,284
1712,91310,183,141,91,91
1713,555920,2,9,6,1
1714,282800,365,241,242,449
1715,218,182,349,4153,34272
1716,34220,151,144,118,145
1717,493490,185,160,195,282
1718,400040,203,259,396,632
1719,622650,197,233,77,80
1720,78000,254,263,276,328
1721,460790,280,173,174,107
1722,219780,154,80,63,64
1723,40950,249,189,213,253
1724,443110,147,112,122,191
1725,355790,117,75,41,50
1726,486480,16,6,1,2
1727,262410,192,155,121,169
1728,223470,333,234,246,274
1729,12110,229,210,218,363
1730,323470,254,104,57,54
1731,17450,194,178,150,197
1732,512020,24,10,1,0
1733,375230,154,129,71,59
1734,239030,344,309,316,318
1735,397340,225,169,150,191
1736,247080,322,228,206,184
1737,258700,167,202,9,1
1738,524660,189,230,280,337
1739,388410,217,336,199,192
1740,239160,168,161,142,184
1741,376570,150,115,0,0
1742,373930,180,194,217,265
1743,39550,90,36,35,39
1744,244160,228,170,187,210
1745,353640,102,37,35,26
1746,292120,303,235,219,356
1747,351970,208,122,82,85
1748,243470,225,181,350,283
1749,662320,357,65,0,0
1750,15620,192,192,181,232
1751,204100,227,209,182,237
1752,331670,181,63,53,180
1753,542550,11,3,0,0
1754,214850,196,163,101,90
1755,17500,133,102,45,49
1756,578330,146,119,133,204
1757,38400,183,180,117,156
1758,445190,173,119,64,73
1759,485390,42,7,6,1
1760,633460,102,51,84,67
1761,591960,172,123,100,110
1762,34870,165,122,117,104
1763,208140,191,150,308,168
1764,307960,150,161,196,297
1765,324080,138,141,120,95
1766,201790,208,156,127,174
1767,39680,186,145,120,94
1768,378720,187,170,97,67
1769,40960,170,143,192,253
1770,298630,217,119,85,79
1771,24790,218,204,201,292
1772,313690,185,126,85,108
1773,427100,166,115,117,158
1774,235600,222,155,110,127
1775,462780,201,293,150,143
1776,600600,52,0,0,0
1777,377840,300,220,173,289
1778,450540,135,120,193,239
1779,493840,121,24,15,17
1780,717640,82,20,9,10
1781,291410,168,139,61,11
1782,108200,174,162,159,439
1783,45760,249,168,142,160
1784,9200,174,183,142,81
1785,21970,142,128,115,120
1786,227320,196,199,157,133
1787,541210,178,143,117,128
1788,587260,124,34,46,34
1789,584400,190,149,105,140
1790,397580,1,0,0,0
1791,599100,5,1,8,4
1792,428950,16,10,1,11
1793,471710,203,188,221,405
1794,634160,137,55,40,38
1795,496300,840,261,139,111
1796,392780,1,0,0,0
1797,288470,220,141,133,216
1798,16810,171,146,148,189
1799,537800,302,143,94,97
1800,395380,102,4,1,0
1801,268130,277,115,76,60
1802,234650,136,189,84,84
1803,228180,206,198,241,395
1804,262280,163,80,60,55
1805,402170,8,1,0,0
1806,248570,154,112,104,120
1807,576050,12,1,0,0
1808,235340,157,141,115,100
1809,726390,153,70,35,38
1810,242640,109,63,36,83
1811,629030,23,0,0,0
1812,532030,3,5,3,2
1813,388440,2,1,0,0
1814,527800,1,0,0,1
1815,567640,375,217,233,443
1816,467390,2,1,0,0
1817,253250,173,351,305,245
1818,500940,1,1,1,0
1819,386700,1,0,0,0
1820,342180,210,164,154,108
1821,515690,10,4,0,23
1822,41070,202,155,121,198
1823,606050,4,3,0,13
1824,382850,137,51,1,1
1825,217980,183,119,129,159
1826,626010,201,66,17,19
1827,33910,96,55,37,35
1828,255220,144,91,82,113
1829,620940,1,1,0,0
1830,539450,16,3,1,0
1831,214730,136,119,118,150
1832,673610,194,150,191,333
1833,201230,146,149,131,172
1834,383080,198,167,112,130
1835,451020,564,241,107,128
1836,447990,1,0,0,0
1837,503820,57,26,5,19
1838,413410,341,205,302,493
1839,280220,178,260,265,298
1840,2630,135,114,134,206
1841,209160,129,89,78,76
1842,487120,201,107,122,145
1843,233130,173,94,55,69
1844,582430,89,17,17,59
1845,420290,227,180,80,234
1846,42910,217,134,92,122
1847,9880,161,165,132,141
1848,361800,142,83,25,29
1849,302670,155,237,288,263
1850,7940,261,172,153,162
1851,302590,121,93,34,46
1852,380,195,120,116,239
1853,415960,6,6,7,8
1854,360450,1,0,0,0
1855,520440,279,182,192,195
1856,32440,448,144,197,401
1857,461890,27,4,1,6
1858,252150,217,201,335,326
1859,586140,227,163,142,149
1860,33250,126,124,165,158
1861,253230,433,354,501,373
1862,396750,270,152,160,116
1863,244930,142,77,42,27
1864,383580,12,9,1,1
1865,250820,243,290,142,2
1866,208500,100,71,63,74
1867,601340,12,5,2,47
1868,390670,138,88,52,23
1869,324800,214,191,182,235
1870,245170,237,148,113,200
1871,606330,35,24,1,6
1872,247000,192,159,120,253
1873,354640,191,137,112,91
1874,241600,212,168,122,124
1875,589870,122,80,49,52
1876,412600,15,9,1,33
1877,287290,187,131,144,193
1878,331600,183,124,88,86
1879,619400,24,3,0,1
1880,38410,149,165,138,177
1881,448640,22,15,3,11
1882,591560,29,22,4,5
1883,481510,341,123,81,87
1884,519190,149,117,60,58
1885,210970,218,146,87,176
1886,261110,129,33,14,13
1887,201870,152,124,101,157
1888,253880,79,84,57,65
1889,39510,120,120,142,196
1890,491530,110,66,62,65
1891,296490,167,157,151,132
1892,366090,245,181,184,144
1893,644930,8445,3162,2711,2554
1894,448630,83,23,2,80
1895,450390,219,129,95,64
1896,219150,323,160,123,134
1897,261570,186,124,102,471
1898,222940,149,109,115,144
1899,293260,137,115,67,85
1900,246900,269,163,154,233
1901,332570,188,184,139,158
1902,591740,174,174,153,162
1903,629280,18,6,1,3
1904,705120,167,28,18,18
1905,369990,153,140,138,197
1906,249230,111,92,78,84
1907,230190,199,145,117,114
1908,351030,119,86,66,87
1909,376730,11,1,0,0
1910,535260,8,1,0,0
1911,24810,172,167,179,248
1912,341800,238,109,105,154
1913,655780,65,13,26,11
1914,732730,116,27,10,6
1915,530070,205,156,251,399
1916,322500,197,113,100,134
1917,12220,159,149,127,60
1918,10540,114,104,96,133
1919,512470,111,87,56,73
1920,509840,30,9,1,3
1921,528070,2,12,1,1
1922,493370,193,145,79,38
1923,271240,136,100,105,78
1924,515470,16,3,0,25
1925,745,146,133,128,184
1926,324310,121,72,45,29
1927,282350,171,125,84,69
1928,290300,179,113,80,54
1929,301640,251,133,122,103
1930,644570,105,72,58,38
1931,400250,197,28,15,29
1932,409720,150,147,146,222
1933,9480,166,120,93,112
1934,425340,0,0,0,0
1935,24740,159,100,71,67
1936,463210,29,23,3,29
1937,24800,156,145,153,219
1938,480430,61,24,16,25
1939,209660,95,68,43,31
1940,283640,332,188,135,176
1941,428900,29,9,2,0
1942,523150,5,7,2,3
1943,383150,200,183,209,239
1944,372800,152,118,75,100
1945,427490,46,11,7,6
1946,220440,356,150,104,83
1947,15370,150,151,161,224
1948,401870,108,86,60,57
1949,326160,133,175,106,93
1950,30,139,108,98,123
1951,22300,141,114,67,60
1952,431600,116,114,109,144
1953,223330,160,91,77,99
1954,272270,107,67,36,35
1955,327030,147,100,153,265
1956,438010,17,23,2,13
1957,294860,121,155,92,91
1958,444480,40,23,11,70
1959,263560,4,2,1,1
1960,596350,28,66,50,23
1961,296300,133,85,34,35
1962,404410,121,92,84,135
1963,304650,169,112,107,84
1964,230230,97,58,40,39
1965,570840,105,41,20,26
1966,496240,148,86,74,102
1967,730370,0,0,0,0
1968,412170,9,21,3,25
1969,11610,125,93,40,42
1970,330070,143,122,96,98
1971,544610,170,91,101,105
1972,512900,223,172,318,377
1973,362620,135,131,107,158
1974,15170,144,136,144,193
1975,408760,106,135,73,57
1976,518030,139,186,150,131
1977,102700,116,44,2,4
1978,477770,118,114,47,38
1979,658160,157,109,15,8
1980,321800,154,121,107,130
1981,22100,162,120,107,132
1982,21130,144,123,124,192
1983,203350,110,97,86,102
1984,628860,1,5,7,12
1985,252690,91,110,124,232
1986,367450,368,235,220,428
1987,73170,137,129,119,123
1988,311860,249,51,10,102
1989,482920,124,88,83,132
1990,568570,186,124,49,65
1991,562760,60,3,9,4
1992,394690,190,140,266,295
1993,64000,120,100,78,76
1994,227860,250,80,70,84
1995,34000,102,88,70,89
1996,202480,153,138,101,91
1997,429050,225,280,258,304
