,app_id,type,name,release_date,free_to_play,developer_1,developer_2,developer_3,publisher_1,publisher_2,publisher_3,genre_Action,genre_Adventure,genre_Animation & Modeling,genre_Audio Production,genre_Casual,genre_Design & Illustration,genre_Early Access,genre_Education,genre_Free to Play,genre_Gore,genre_Indie,genre_Massively Multiplayer,genre_Nudity,genre_Photo Editing,genre_RPG,genre_Racing,genre_Sexual Content,genre_Simulation,genre_Software Training,genre_Sports,genre_Strategy,genre_Utilities,genre_Video Production,genre_Violent,genre_Web Publishing,meanPlayers2017,meanPlayers2018,meanPlayers2019,meanPlayers2020,first_available_price,last_available_price,lowest_price,highest_price
16,227300,game,Euro Truck Simulator 2,2012-10-12,0.0,SCS Software,0,0,SCS Software,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23159,15935,16605,20739,19.99,19.99,4.99,19.99
17,107410,game,Arma 3,2013-09-12,0.0,Bohemia Interactive,0,0,Bohemia Interactive,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19125,15795,13358,14983,39.99,29.99,8.99,39.99
18,365590,game,Tom Clancy's The Division,2016-03-07,0.0,Massive Entertainment,0,0,Ubisoft,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13799,5757,2036,817,49.99,29.99,9.89,49.99
19,433850,game,H1Z1,2018-02-28,1.0,NantG,0,0,Daybreak Game Company,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19979,5685,1064,766,0.0,0.0,0.0,0.0
20,377160,game,Fallout 4,2015-11-09,0.0,Bethesda Game Studios,0,0,Bethesda Softworks,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20408,18821,12590,14563,29.99,29.99,7.49,29.99
21,289070,game,Sid Meier's Civilization VI,2016-10-20,0.0,Firaxis Games,Aspyr (Mac),Aspyr (Linux),2K,Aspyr (Mac),Aspyr (Linux),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20861,20372,26623,37195,59.99,59.99,14.99,59.99
22,444090,game,Paladins,2018-05-08,1.0,Evil Mojo Games,0,0,Hi-Rez Studios,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18265,16529,12338,13094,0.0,0.0,0.0,0.0
23,105600,game,Terraria,2011-05-16,0.0,Re-Logic,0,0,Re-Logic,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21043,17903,21562,53892,9.99,9.99,4.99,9.99
24,482730,,Football Manager 2017,,,,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14244,8562,3298,2443,0.0,0.0,0.0,0.0
25,72850,game,The Elder Scrolls V: Skyrim,2011-11-10,0.0,Bethesda Game Studios,0,0,Bethesda Softworks,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14716,11493,8433,8142,19.99,19.99,19.99,19.99
